118608,IT4350,Kiến trúc các hệ thống thông tin và ứng dụng ,Thứ năm,28.01.2021,Kíp 2,"D3,5-301"
118634,IT4409,Công nghệ Web và dịch vụ trực tuyến,Thứ tư,13.01.2021,Kíp 2,D9-301
118638,IT4263,An ninh mạng,Thứ sáu,22.01.2021,Kíp 2,D9-205
118609,IT4490,Thiết kế và xây dựng phần mềm,Thứ hai,18.01.2021,Kíp 2,D9-105
118588,IT3170,Thuật toán ứng dụng,Thứ bảy,16.01.2021,Kíp 3-4,Phòng máy tính
